numerai_ticker	yahoo_ticker	updated_at
000270 KR	1525.TW	2025-01-22 17:27:11.009300+09:00
000660 KR	HY9H.F	2025-01-22 17:27:11.009300+09:00
005380 KR	HYMTF	2025-01-22 17:27:11.009300+09:00
005490 KR	PKX	2025-01-22 17:27:11.009300+09:00
005930 KR	SSU.VI	2025-01-22 17:27:11.009300+09:00
006260 KR	CEBV.DE	2025-01-22 17:27:11.009300+09:00
006400 KR	XSDG.SG	2025-01-22 17:27:11.009300+09:00
010950 KR	SPOC	2025-01-22 17:27:11.009300+09:00
015760 KR	KEP	2025-01-22 17:27:11.009300+09:00
023160 KR	3479.T	2025-01-22 17:27:11.009300+09:00
034220 KR	LPL	2025-01-22 17:27:11.009300+09:00
034730 KR	SKYW	2025-01-22 17:27:11.009300+09:00
039440 KR	ELST	2025-01-22 17:27:11.009300+09:00
066570 KR	LGLG.F	2025-01-22 17:27:11.009300+09:00
066970 KR	300973.SZ	2025-01-22 17:27:11.009300+09:00
078930 KR	43A.SI	2025-01-22 17:27:11.009300+09:00
091120 KR	301269.SZ	2025-01-22 17:27:11.009300+09:00
1 HK	CKHUY	2025-01-22 17:27:11.009300+09:00
101 HK	HLPPY	2025-01-22 17:27:11.009300+09:00
101490 KR	300993.SZ	2025-01-22 17:27:11.009300+09:00
1024 HK	0A74.L	2025-01-22 17:27:11.009300+09:00
1030 HK	6FLA.F	2025-01-22 17:27:11.009300+09:00
1038 HK	CKISF	2025-01-22 17:27:11.009300+09:00
105560 KR	KB	2025-01-22 17:27:11.009300+09:00
1060 HK	CBW.SG	2025-01-22 17:27:11.009300+09:00
1070 HK	TCLHF	2025-01-22 17:27:11.009300+09:00
1093 HK	CSPCY	2025-01-22 17:27:11.009300+09:00
11 HK	HSNGY	2025-01-22 17:27:11.009300+09:00
1101 TW	1101.TW	2025-01-22 17:27:11.009300+09:00
1102 TW	1102.TW	2025-01-22 17:27:11.009300+09:00
1109 HK	CRBJY	2025-01-22 17:27:11.009300+09:00
1113 HK	1CK.SG	2025-01-22 17:27:11.009300+09:00
1128 HK	WYNMY	2025-01-22 17:27:11.009300+09:00
1164 HK	VBO.SG	2025-01-22 17:27:11.009300+09:00
1177 HK	SMZ1.F	2025-01-22 17:27:11.009300+09:00
1179 HK	0A2I.IL	2025-01-22 17:27:11.009300+09:00
1193 HK	CRGGF	2025-01-22 17:27:11.009300+09:00
1199 HK	CTH.F	2025-01-22 17:27:11.009300+09:00
12 HK	HLDCY	2025-01-22 17:27:11.009300+09:00
1208 HK	MMLTF	2025-01-22 17:27:11.009300+09:00
1211 HK	BY6.VI	2025-01-22 17:27:11.009300+09:00
1215 TW	1215.TW	2025-01-22 17:27:11.009300+09:00
1216 TW	1216.TW	2025-01-22 17:27:11.009300+09:00
1225 TW	1225.TW	2025-01-22 17:27:11.009300+09:00
1229 TW	1229.TW	2025-01-22 17:27:11.009300+09:00
123 HK	GUZA.F	2025-01-22 17:27:11.009300+09:00
1231 TW	1231.TW	2025-01-22 17:27:11.009300+09:00
1258 HK	3N4.SG	2025-01-22 17:27:11.009300+09:00
1288 HK	EK7.VI	2025-01-22 17:27:11.009300+09:00
1299 HK	AAGIY	2025-01-22 17:27:11.009300+09:00
1301 TW	1301.TW	2025-01-22 17:27:11.009300+09:00
1302 HK	81X.SG	2025-01-22 17:27:11.009300+09:00
1303 TW	1303.TW	2025-01-22 17:27:11.009300+09:00
1308 HK	SITIY	2025-01-22 17:27:11.009300+09:00
1310 HK	2HK.F	2025-01-22 17:27:11.009300+09:00
1314 TW	1314.TW	2025-01-22 17:27:11.009300+09:00
1316 HK	8NX.SG	2025-01-22 17:27:11.009300+09:00
